DATE,PTR,Rf,Mkt-Rf,SMB,HML,OilPriceChg,USDAPPR,PTR-Rf,NTES-Rf
2/1/2009,-3.93,0.01,-10.10,0.13,-6.91,-6.18,-0.19,-3.94,7.72
3/1/2009,12.46,0.02,8.95,0.00,3.34,22.52,-0.06,12.44,31.08
4/1/2009,9.05,0.01,10.18,5.28,5.26,3.77,1.64,9.04,12.39
5/1/2009,36.32,0.00,5.21,-2.52,0.37,18.82,-1.16,36.32,14.58
6/1/2009,-5.00,0.01,0.43,2.66,-2.72,17.78,1.22,-5.01,1.73
7/1/2009,6.58,0.01,7.72,1.87,4.84,-8.02,2.49,6.57,25.23
8/1/2009,-6.79,0.01,3.33,-1.08,7.63,10.88,1.06,-6.80,-4.71
9/1/2009,5.30,0.01,4.08,2.43,1.04,-2.25,-1.61,5.29,8.78
10/1/2009,5.53,0.00,-2.59,-4.34,-4.20,9.16,0.00,5.53,-15.46
11/1/2009,4.05,0.00,5.56,-2.39,-0.33,2.98,0.01,4.05,-0.98
12/1/2009,-4.76,0.01,2.75,6.04,-0.17,-4.84,0.01,-4.77,-1.63
1/1/2010,-6.28,0.00,-3.36,0.40,0.43,5.28,0.00,-6.28,-12.81
2/1/2010,0.39,0.00,3.40,1.19,3.22,-2.30,0.00,0.39,18.48
3/1/2010,4.74,0.01,6.31,1.48,2.21,6.31,-0.39,4.73,-8.61
4/1/2010,-1.78,0.01,2.00,4.87,2.89,3.99,-0.44,-1.79,-1.73
5/1/2010,-5.15,0.01,-7.89,0.09,-2.44,-12.59,-1.27,-5.16,-13.04
6/1/2010,2.26,0.01,-5.57,-1.81,-4.70,2.04,0.03,2.25,4.44
7/1/2010,4.32,0.01,6.93,0.24,-0.30,1.35,-0.68,4.31,20.77
8/1/2010,-4.98,0.01,-4.77,-2.95,-1.96,0.59,-0.24,-4.99,3.72
9/1/2010,8.93,0.01,9.54,3.96,-3.17,-1.97,-0.24,8.92,-0.74
10/1/2010,5.61,0.01,3.88,1.21,-2.49,8.75,0.05,5.60,6.02
11/1/2010,-0.09,0.01,0.60,3.77,-0.88,2.74,-0.70,-0.10,-8.71
12/1/2010,7.04,0.01,6.82,0.67,3.78,5.82,0.03,7.03,-5.33
1/1/2011,5.92,0.01,1.99,-2.44,0.77,0.43,1.00,5.91,11.58
2/1/2011,-2.11,0.01,3.49,1.47,1.24,0.18,-0.45,-2.12,15.63
3/1/2011,11.68,0.01,0.46,2.56,-1.88,14.91,3.24,11.67,6.12
4/1/2011,-4.38,0.00,2.90,-0.32,-2.48,6.90,-0.55,-4.38,-0.46
5/1/2011,0.92,0.00,-1.27,-0.65,-2.00,-7.92,-0.98,0.92,-6.39
6/1/2011,1.33,0.00,-1.75,-0.14,-0.38,-4.97,1.38,1.33,-2.25
7/1/2011,-2.60,0.00,-2.35,-1.29,-0.91,0.93,0.00,-2.60,12.04
8/1/2011,-9.65,0.01,-5.99,-3.07,-2.40,-11.17,0.00,-9.66,0.07
9/1/2011,-4.25,0.00,-7.59,-3.33,-1.75,-0.83,0.00,-4.25,-24.53
10/1/2011,7.57,0.00,11.35,3.30,0.12,0.93,0.00,7.57,24.14
11/1/2011,0.88,0.00,-0.28,-0.17,-0.46,12.50,-2.06,0.88,-4.81
12/1/2011,-4.93,0.00,0.74,-0.60,1.61,1.40,-0.28,-4.93,-0.53
1/1/2012,17.05,0.00,5.05,2.06,-0.94,1.69,-0.54,17.05,6.60
2/1/2012,3.25,0.00,4.42,-1.86,0.43,2.01,-0.33,3.25,9.64
3/1/2012,-6.46,0.00,3.11,-0.66,1.12,3.85,0.02,-6.46,10.84
4/1/2012,5.90,0.00,-0.85,-0.41,-0.77,-2.69,-0.11,5.90,3.82
5/1/2012,-13.54,0.01,-6.19,0.09,-1.06,-8.35,-0.43,-13.55,3.37
6/1/2012,2.44,0.00,3.89,0.64,0.59,-12.98,0.12,2.44,-5.63
7/1/2012,-3.25,0.00,0.79,-2.72,-0.12,6.70,-0.15,-3.25,-10.26
8/1/2012,-1.79,0.01,2.55,0.48,1.30,7.09,-0.48,-1.80,-1.41
9/1/2012,7.36,0.01,2.73,0.54,1.58,0.59,0.16,7.35,7.81
10/1/2012,5.11,0.01,-1.76,-1.17,3.56,-5.44,-0.13,5.10,-3.82
11/1/2012,-1.92,0.01,0.78,0.61,-0.83,-3.25,-0.82,-1.93,-18.79
12/1/2012,7.98,0.01,1.18,1.52,3.53,1.83,2.82,7.97,-3.04
1/1/2013,-1.10,0.00,5.57,0.31,0.95,7.30,0.27,-1.10,11.50
2/1/2013,-3.67,0.00,1.29,-0.33,0.10,0.67,-1.28,-3.67,10.47
3/1/2013,-3.77,0.00,4.03,0.83,-0.23,-2.38,0.07,-3.77,6.81
4/1/2013,-3.00,0.00,1.55,-2.36,0.50,-1.05,0.00,-3.00,2.96
5/1/2013,-7.87,0.00,2.80,1.72,2.67,2.97,0.00,-7.87,13.37
6/1/2013,-4.33,0.00,-1.20,1.32,0.05,1.05,0.00,-4.33,-1.19
7/1/2013,5.34,0.00,5.65,1.87,0.57,9.20,0.00,5.34,0.85
8/1/2013,-6.67,0.00,-2.71,0.26,-2.68,1.87,-0.07,-6.67,11.03
9/1/2013,3.48,0.00,3.77,2.90,-1.23,-0.26,-0.19,3.48,2.63
10/1/2013,3.02,0.00,4.18,-1.56,1.26,-5.41,-0.36,3.02,-7.01
11/1/2013,5.09,0.00,3.13,1.29,0.28,-6.64,0.25,5.09,6.37
12/1/2013,-7.81,0.00,2.81,-0.46,-0.01,4.02,-0.02,-7.81,9.46
1/1/2014,-12.60,0.00,-3.32,0.92,-2.02,-3.08,0.49,-12.60,-4.62
2/1/2014,10.10,0.00,4.65,0.37,-0.31,6.55,-0.90,10.10,-5.86
3/1/2014,2.75,0.00,0.43,-1.87,4.92,-0.02,-0.20,2.75,-2.70
